Code,Account,Debit,Credit,Balance
1105,Caja,200000000.00,0.00,200000000.00
1110,Bancos,160000000.00,0.00,160000000.00
1305,Clientes,480000000.00,0.00,480000000.00
1430,Inventarios,240000000.00,0.00,240000000.00
1516,Propiedades Planta y Equipo,800000000.00,0.00,800000000.00
2205,Proveedores,0.00,280000000.00,-280000000.00
2404,Impuestos por Pagar,0.00,60000000.00,-60000000.00
3105,Capital Social,0.00,320000000.00,-320000000.00
3605,Resultados Acumulados,0.00,960000000.00,-960000000.00
4135,Ingresos Operacionales,0.00,1200000000.00,-1200000000.00
6105,Costo de Ventas,600000000.00,0.00,600000000.00
5205,Gastos Administrativos,340000000.00,0.00,340000000.00
