Account,Account Code,Debit,Credit
Cash on Hand,,76923076.92,0.00
Bank Balances,,61538461.54,0.00
Trade Receivables,,184615384.62,0.00
Inventory,,92307692.31,0.00
Property Plant and Equipment,,307692307.69,0.00
Trade Payables,,0.00,107692307.69
Tax Payable,,0.00,23076923.08
Long-Term Debt,,0.00,153846153.85
Share Capital,,0.00,123076923.08
Retained Earnings,,0.00,207692307.69
Revenue,,0.00,461538461.54
Cost of Goods Sold,,230769230.77,0.00
Administrative Expenses,,92307692.31,0.00
Depreciation,,30769230.77,0.00
