parent_lei,parent_name,child_lei,child_name,child_company_number,relationship_type,in_downloaded_corpus
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,5299000PID58I0SYUF38,SIEMENS INDUSTRY SOFTWARE LIMITED,03476850,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,5299001S75FZN6VAOS66,SIEMENS HEALTHCARE DIAGNOSTICS PRODUCTS LTD,02005794,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,5299004JE8KDN5OYAY55,SIEMENS HEALTHCARE DIAGNOSTICS LTD,03050664,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,5299006YHQKS5IOKUL67,VARIAN MEDICAL SYSTEMS UK LIMITED,00558526,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,5299009FLSSASI3IR442,"NEXT47 FUND 2025, L.P.",LP023590,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900A78YBS9Z9ZRW09,ACUSON UNITED KINGDOM LTD.,13469323,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900BHOVA38O6B0Q57,SIEMENS FINANCIAL SERVICES LIMITED,00646166,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900DTGWBW6PSR0V66,"NEXT47 FUND 2024, L.P.",LP023096,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900DXHXZ9UVM8JI90,"NEXT47 FUND 2022, L.P.",LP021850,IS_DIRECTLY_CONSOLIDATED_BY,False
W38RGI023J3WT1HWRP32,Siemens Aktiengesellschaft,529900G54IBT9DCA3B46,SIEMENS RAIL AUTOMATION LIMITED,01641421,IS_DIRECTLY_CONSOLIDATED_BY,False
