cofog99,cofog99_label_en,na_item,na_item_label_en,window,n_observations,n_countries,n_years,sum_abs_value
GF01,General public services,D1,Compensation of employees,holdout,121,30,5,994308.5
GF01,General public services,D1,Compensation of employees,train,767,30,31,4239450.3
GF01,General public services,D29_D5_D8,"""Other taxes on production; current taxes on income, wealth, etc; adjustment for the change in pension entitlements""",holdout,121,30,5,28883.0
GF01,General public services,D29_D5_D8,"""Other taxes on production; current taxes on income, wealth, etc; adjustment for the change in pension entitlements""",train,756,30,31,108375.7
GF01,General public services,D3,Subsidies,holdout,117,29,5,14310.1
GF01,General public services,D3,Subsidies,train,728,30,31,51704.4
GF01,General public services,D4,Property income,holdout,121,30,5,1119269.1
GF01,General public services,D4,Property income,train,767,30,31,7693566.7
GF01,General public services,D4_S1311,"Property income, of which payable to subsector S1311",holdout,4,1,4,0.0
GF01,General public services,D4_S1311,"Property income, of which payable to subsector S1311",train,20,1,20,0.0
GF01,General public services,D4_S1312,"Property income, of which payable to subsector S1312",holdout,4,1,4,0.0
GF01,General public services,D4_S1312,"Property income, of which payable to subsector S1312",train,20,1,20,0.0
GF01,General public services,D4_S1313,"Property income, of which payable to subsector S1313",holdout,4,1,4,0.0
GF01,General public services,D4_S1313,"Property income, of which payable to subsector S1313",train,20,1,20,0.0
GF01,General public services,D4_S1314,"Property income, of which payable to subsector S1314",holdout,4,1,4,0.0
GF01,General public services,D4_S1314,"Property income, of which payable to subsector S1314",train,20,1,20,0.0
GF01,General public services,D62,Social benefits other than social transfers in kind,holdout,105,26,5,0.9
GF01,General public services,D62,Social benefits other than social transfers in kind,train,629,27,31,597.3
GF01,General public services,D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,holdout,105,26,5,1.0
GF01,General public services,D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,train,669,27,31,597.3
GF01,General public services,D632,Social transfers in kind - purchased market production,holdout,105,26,5,0.0
GF01,General public services,D632,Social transfers in kind - purchased market production,train,623,26,31,0.0
GF01,General public services,D7,Other current transfers,holdout,121,30,5,775504.6
GF01,General public services,D7,Other current transfers,train,767,30,31,3054273.3
GF01,General public services,D7_S1311,"Other current transfers,of which payable to subsector S1311",holdout,4,1,4,0.0
GF01,General public services,D7_S1311,"Other current transfers,of which payable to subsector S1311",train,20,1,20,0.0
GF01,General public services,D7_S1312,"Other current transfers,of which payable to subsector S1312",holdout,4,1,4,0.0
GF01,General public services,D7_S1312,"Other current transfers,of which payable to subsector S1312",train,20,1,20,0.0
GF01,General public services,D7_S1313,"Other current transfers,of which payable to subsector S1313",holdout,4,1,4,0.0
GF01,General public services,D7_S1313,"Other current transfers,of which payable to subsector S1313",train,20,1,20,0.0
GF01,General public services,D7_S1314,"Other current transfers,of which payable to subsector S1314",holdout,4,1,4,0.0
GF01,General public services,D7_S1314,"Other current transfers,of which payable to subsector S1314",train,20,1,20,0.0
GF01,General public services,D9,Capital transfers,holdout,120,30,5,133397.3
GF01,General public services,D9,Capital transfers,train,767,30,31,428425.6
GF01,General public services,D92,Investment grants,holdout,119,30,5,63858.4
GF01,General public services,D92,Investment grants,train,749,30,31,196577.2
GF01,General public services,D9_S1311,"Capital transfers, expenditure, of which to subsector central government (S1311)",holdout,4,1,4,0.0
GF01,General public services,D9_S1311,"Capital transfers, expenditure, of which to subsector central government (S1311)",train,20,1,20,0.0
GF01,General public services,D9_S1312,"Capital transfers, expenditure, of which to subsector state government (S1312)",holdout,4,1,4,0.0
GF01,General public services,D9_S1312,"Capital transfers, expenditure, of which to subsector state government (S1312)",train,20,1,20,0.0
GF01,General public services,D9_S1313,"Capital transfers, expenditure, of which to subsector local government (S1313)",holdout,4,1,4,0.0
GF01,General public services,D9_S1313,"Capital transfers, expenditure, of which to subsector local government (S1313)",train,20,1,20,0.0
GF01,General public services,D9_S1314,"Capital transfers, expenditure, of which to subsector social security funds (S1314)",holdout,4,1,4,0.0
GF01,General public services,D9_S1314,"Capital transfers, expenditure, of which to subsector social security funds (S1314)",train,20,1,20,0.0
GF01,General public services,NP,Acquisitions less disposals of non-financial non-produced assets,holdout,121,30,5,10594.7
GF01,General public services,NP,Acquisitions less disposals of non-financial non-produced assets,train,764,30,31,84489.6
GF01,General public services,OP5ANP,Gross capital formation and acquisitions less disposals of non-financial non-produced assets,holdout,121,30,5,448654.0
GF01,General public services,OP5ANP,Gross capital formation and acquisitions less disposals of non-financial non-produced assets,train,767,30,31,1545977.3
GF01,General public services,P2,Intermediate consumption,holdout,121,30,5,642694.1
GF01,General public services,P2,Intermediate consumption,train,767,30,31,2613821.9
GF01,General public services,P2_D29_D5_D8,"Intermediate consumption; other taxes on production; current taxes on income, wealth, etc.; adjustment for the change in pension entitlements",holdout,117,29,5,657242.3
GF01,General public services,P2_D29_D5_D8,"Intermediate consumption; other taxes on production; current taxes on income, wealth, etc.; adjustment for the change in pension entitlements",train,741,29,31,2664453.0
GF01,General public services,P3,Final consumption expenditure,holdout,121,30,5,1466988.8
GF01,General public services,P3,Final consumption expenditure,train,767,30,31,6191487.5
GF01,General public services,P31,Individual consumption expenditure,holdout,81,20,5,0.0
GF01,General public services,P31,Individual consumption expenditure,train,516,20,31,0.0
GF01,General public services,P32,Collective consumption expenditure,holdout,109,27,5,1077865.2
GF01,General public services,P32,Collective consumption expenditure,train,692,27,31,4796434.7
GF01,General public services,P5,Gross capital formation,holdout,121,30,5,450250.1
GF01,General public services,P5,Gross capital formation,train,767,30,31,1598396.4
GF01,General public services,P51G,Gross fixed capital formation,holdout,121,30,5,450498.4
GF01,General public services,P51G,Gross fixed capital formation,train,767,30,31,1606155.3
GF01,General public services,TE,Total general government expenditure,holdout,121,30,5,4157016.3
GF01,General public services,TE,Total general government expenditure,train,767,30,31,19734801.5
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D1,Compensation of employees,holdout,121,30,5,435082.5
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D1,Compensation of employees,train,698,30,26,1717891.3
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D29_D5_D8,"""Other taxes on production; current taxes on income, wealth, etc; adjustment for the change in pension entitlements""",holdout,121,30,5,13800.3
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D29_D5_D8,"""Other taxes on production; current taxes on income, wealth, etc; adjustment for the change in pension entitlements""",train,693,30,26,39372.7
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D3,Subsidies,holdout,114,29,5,241.1
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D3,Subsidies,train,661,30,26,2548.9
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D4,Property income,holdout,113,28,5,27.3
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D4,Property income,train,654,28,26,477.4
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D4_S1311,"Property income, of which payable to subsector S1311",holdout,4,1,4,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D4_S1311,"Property income, of which payable to subsector S1311",train,20,1,20,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D4_S1312,"Property income, of which payable to subsector S1312",holdout,4,1,4,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D4_S1312,"Property income, of which payable to subsector S1312",train,20,1,20,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D4_S1313,"Property income, of which payable to subsector S1313",holdout,4,1,4,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D4_S1313,"Property income, of which payable to subsector S1313",train,20,1,20,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D4_S1314,"Property income, of which payable to subsector S1314",holdout,4,1,4,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D4_S1314,"Property income, of which payable to subsector S1314",train,20,1,20,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D62,Social benefits other than social transfers in kind,holdout,105,26,5,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D62,Social benefits other than social transfers in kind,train,594,27,26,138.1
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,holdout,105,26,5,0.1
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,train,617,27,26,138.1
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D632,Social transfers in kind - purchased market production,holdout,105,26,5,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D632,Social transfers in kind - purchased market production,train,588,26,26,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D7,Other current transfers,holdout,121,30,5,578356.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D7,Other current transfers,train,698,30,26,2149350.1
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D7_S1311,"Other current transfers,of which payable to subsector S1311",holdout,4,1,4,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D7_S1311,"Other current transfers,of which payable to subsector S1311",train,20,1,20,0.0
GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",D7_S1312,"Other current transfers,of which payable to subsector S1312",holdout,4,1,4,0.0
