codelist_id,code,label_en,parent_code,description
CL_GFS_INDICATOR,ADJ_D_A_SP,"Adjustment (GFS), Domestic, Assets, Stock positions",,"Adjustment (GFS) Domestic Assets are a store of value representing a benefit or series of benefits accruing to the economic owner by holding or using the item over a period of time. It is a means of carrying forward value from one accounting period to another. The values of assets, liabilities, and equity held at a specific point in time."
CL_GFS_INDICATOR,CIOA_TCB_CAB,"Cash inflow from operating activities, Transactions (cash basis of recording), Cash basis",,"The cash generated by a government's regular operational activities, including tax collections, fees, and other income. Transactions (cash basis of recording). Cash basis"
CL_GFS_INDICATOR,CONTLIB_L_SP_MI,"Contingent Liabilities, Stock positions, Memorandum Item",,"Potential obligations that may arise based on the outcome of future events. Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. The values of assets, liabilities, and equity held at a specific point in time. Memorandum Item"
CL_GFS_INDICATOR,CSDA_TCB_CAB,"Cash surplus/deficit (adjustment), Transactions (cash basis of recording), Cash basis",,"Adjustments made to the reported cash surplus or deficit to account for corrections, reallocations, or other changes. Transactions (cash basis of recording). Cash basis"
CL_GFS_INDICATOR,DC_L_T,"Domestic Creditors, Liabilities, Transactions",,"Domestic Creditors Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,DC_L_TCB_CAB,"Domestic Creditors, Liabilities, Transactions (cash basis of recording), Cash basis",,"Domestic Creditors Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. Transactions (cash basis of recording). Cash basis"
CL_GFS_INDICATOR,DD_A_SP,"Domestic Debtors, Assets, Stock positions",,"Domestic Debtors Assets are a store of value representing a benefit or series of benefits accruing to the economic owner by holding or using the item over a period of time. It is a means of carrying forward value from one accounting period to another. The values of assets, liabilities, and equity held at a specific point in time."
CL_GFS_INDICATOR,DMV_G33_L_T_MI,"Debt (at market value), Net incurrence of liabilities, Transactions, Memorandum Item",,"The value of debt calculated based on the current market price of the debt instruments. The net increase in the government's liabilities to domestic creditors, representing new borrowing from domestic sources minus repayments. Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value. Memorandum Item"
CL_GFS_INDICATOR,F12_FC_L_SP,"Special Drawing Rights (SDRs), Foreign Creditors, Liabilities, Stock positions",,"Reserve assets created by the International Monetary Fund and allocated to its members to supplement existing reserve assets. Foreign Creditors Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. The values of assets, liabilities, and equity held at a specific point in time."
CL_GFS_INDICATOR,F12_FC_L_SP_FV,"Special Drawing Rights (SDRs), Foreign Creditors, Liabilities, Stock positions, Face value",,"Reserve assets created by the International Monetary Fund and allocated to its members to supplement existing reserve assets. Foreign Creditors Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. The values of assets, liabilities, and equity held at a specific point in time. Face value"
CL_GFS_INDICATOR,F12_FC_L_SP_NV,"Special Drawing Rights (SDRs), Foreign Creditors, Liabilities, Stock positions, Nominal value",,"Reserve assets created by the International Monetary Fund and allocated to its members to supplement existing reserve assets. Foreign Creditors Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. The values of assets, liabilities, and equity held at a specific point in time. Nominal value"
CL_GFS_INDICATOR,F12_G33_FC_L_T,"Special Drawing Rights (SDRs), Net incurrence of liabilities, Foreign Creditors, Transactions",,"Reserve assets created by the International Monetary Fund and allocated to its members to supplement existing reserve assets. The net increase in the government's liabilities to domestic creditors, representing new borrowing from domestic sources minus repayments. Foreign Creditors Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,F12_G33_L_T,"Special Drawing Rights (SDRs), Net incurrence of liabilities, Transactions",,"Reserve assets created by the International Monetary Fund and allocated to its members to supplement existing reserve assets. The net increase in the government's liabilities to domestic creditors, representing new borrowing from domestic sources minus repayments. Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,F12_L_SP,"Special Drawing Rights (SDRs), Liabilities, Stock positions",,"Reserve assets created by the International Monetary Fund and allocated to its members to supplement existing reserve assets. Obligations where one unit (the debtor) is obliged, under specific circumstances, to provide funds or other resources to another unit (the creditor). These include shares and other equity in corporations. The values of assets, liabilities, and equity held at a specific point in time."
