code,label_en,window,n_observations,n_countries,n_years,sum_abs_value
FA_A_SP,"Financial assets, Stock positions",holdout,0,0,0,0.0
FA_A_SP,"Financial assets, Stock positions",train,0,0,0,0.0
G11_T,"Taxes, Transactions",holdout,337,94,5,7277.159139
G11_T,"Taxes, Transactions",train,1940,113,31,42156.058305
G12_T,"Social contributions, Transactions",holdout,338,94,5,2101.906307
G12_T,"Social contributions, Transactions",train,1943,113,31,13042.557442
G13_T,"Grants receivable, Transactions",holdout,307,87,5,384.460562
G13_T,"Grants receivable, Transactions",train,1677,110,31,2665.804015
G14_T,"Other revenue, Transactions",holdout,308,87,5,2261.874512
G14_T,"Other revenue, Transactions",train,1668,110,31,12064.949542
G1_T,"Revenue, Transactions",holdout,333,93,5,12137.357734
G1_T,"Revenue, Transactions",train,1924,112,31,71176.791062
G21_T,"Compensation of employees, Transactions",holdout,331,93,5,3137.639155
G21_T,"Compensation of employees, Transactions",train,1909,112,31,18466.006266
G22_T,"Use of goods and services, Transactions",holdout,331,93,5,2152.235314
G22_T,"Use of goods and services, Transactions",train,1898,112,31,12416.307873
G23_T,"Consumption of fixed capital (CFC), Transactions",holdout,209,59,5,448.526976
G23_T,"Consumption of fixed capital (CFC), Transactions",train,1144,62,31,2878.543358
G24_T,"Interest payable, Transactions",holdout,332,94,5,608.262436
G24_T,"Interest payable, Transactions",train,1929,113,31,4350.976695
G25_T,"Subsidies payable, Transactions",holdout,331,93,5,599.477749
G25_T,"Subsidies payable, Transactions",train,1779,112,31,2605.048607
G26_T,"Grants payable, Transactions",holdout,308,88,5,188.49251
G26_T,"Grants payable, Transactions",train,1548,105,31,841.204732
G27_T,"Social benefits, Transactions",holdout,331,93,5,3658.70706
G27_T,"Social benefits, Transactions",train,1776,112,31,19367.839975
G28_T,"Other expense, Transactions",holdout,308,88,5,932.297498
G28_T,"Other expense, Transactions",train,1520,104,31,3995.255528
G2_T,"Expense, Transactions",holdout,335,94,5,11933.161122
G2_T,"Expense, Transactions",train,1911,113,31,67802.109377
G6_A_SP,"Net worth, Assets, Stock positions",holdout,108,31,5,5723.434728
G6_A_SP,"Net worth, Assets, Stock positions",train,459,32,31,24378.105069
GF011_T,"Executive and legislative organs, financial and fiscal affairs, external affairs, Transactions",holdout,229,67,4,405.119973
GF011_T,"Executive and legislative organs, financial and fiscal affairs, external affairs, Transactions",train,986,68,31,2085.195356
GF012_T,"Foreign economic aid, Transactions",holdout,230,67,4,32.864338
GF012_T,"Foreign economic aid, Transactions",train,984,68,31,186.797959
GF013_T,"General services, Transactions",holdout,230,67,4,190.766524
GF013_T,"General services, Transactions",train,986,68,31,887.850439
GF0140_T,"Basic research, Transactions",holdout,230,67,4,63.637641
GF0140_T,"Basic research, Transactions",train,986,68,31,351.580442
GF0150_T,"R&D General public services, Transactions",holdout,220,65,4,11.653154
GF0150_T,"R&D General public services, Transactions",train,934,66,31,33.614559
GF0160_T,"General public services n.e.c., Transactions",holdout,232,68,4,63.276624
GF0160_T,"General public services n.e.c., Transactions",train,1006,69,31,243.713774
GF0170_T,"Public debt transactions, Transactions",holdout,233,68,4,435.664656
