taxonomy,code,name,stratum,label_A,label_B,note_A,note_B,adjudicated,adjudication_note
gfs,D4,Property income,head/seen,EXP_DebtService,AGGREGATE:expense,property income payable is overwhelmingly interest on public debt; also holds rent (imperfect),"parent spanning interest, dividends and rent; no single node",AGGREGATE:expense,"D4 spans interest, distributed income, reinvested earnings and rent on land/subsoil; EXP_DebtService is defined narrowly as interest on sovereign debt. Mapping the heterogeneous parent to the interest leaf is a closest-node stretch, not a denotation. Ruled with B."
gfs,D4_S1311,"Property income, of which payable to subsector S1311",tail/seen,EXP_DebtService,,'of which' counterparty slice of D4; counterparty is a dimension,"counterparty memo split of an aggregate; consolidation dimension, not an account",AGGREGATE:expense,"'of which payable to subsector S13xx' is a counterparty memo split of an aggregate, not a separate account. Kontablo models counterparty as an elimination attribute (LocalEntry.intercompany_with), never as a node, so no leaf denotes it. It remains the parent's aggregate viewed through a counterparty axis -- ruled AGGREGATE, matching neither labeler: A mapped it to a leaf (too aggressive), B ruled it wholly out of scope (too strict, since Kontablo does represent it as a computed rollup)."
gfs,D4_S1312,"Property income, of which payable to subsector S1312",tail/seen,EXP_DebtService,,'of which' counterparty slice of D4; counterparty is a dimension,"counterparty memo split of an aggregate; consolidation dimension, not an account",AGGREGATE:expense,"'of which payable to subsector S13xx' is a counterparty memo split of an aggregate, not a separate account. Kontablo models counterparty as an elimination attribute (LocalEntry.intercompany_with), never as a node, so no leaf denotes it. It remains the parent's aggregate viewed through a counterparty axis -- ruled AGGREGATE, matching neither labeler: A mapped it to a leaf (too aggressive), B ruled it wholly out of scope (too strict, since Kontablo does represent it as a computed rollup)."
gfs,D4_S1313,"Property income, of which payable to subsector S1313",tail/seen,EXP_DebtService,,'of which' counterparty slice of D4; counterparty is a dimension,"counterparty memo split of an aggregate; consolidation dimension, not an account",AGGREGATE:expense,"'of which payable to subsector S13xx' is a counterparty memo split of an aggregate, not a separate account. Kontablo models counterparty as an elimination attribute (LocalEntry.intercompany_with), never as a node, so no leaf denotes it. It remains the parent's aggregate viewed through a counterparty axis -- ruled AGGREGATE, matching neither labeler: A mapped it to a leaf (too aggressive), B ruled it wholly out of scope (too strict, since Kontablo does represent it as a computed rollup)."
gfs,D4_S1314,"Property income, of which payable to subsector S1314",tail/seen,EXP_DebtService,,'of which' counterparty slice of D4; counterparty is a dimension,"counterparty memo split of an aggregate; consolidation dimension, not an account",AGGREGATE:expense,"'of which payable to subsector S13xx' is a counterparty memo split of an aggregate, not a separate account. Kontablo models counterparty as an elimination attribute (LocalEntry.intercompany_with), never as a node, so no leaf denotes it. It remains the parent's aggregate viewed through a counterparty axis -- ruled AGGREGATE, matching neither labeler: A mapped it to a leaf (too aggressive), B ruled it wholly out of scope (too strict, since Kontablo does represent it as a computed rollup)."
gfs,D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,head/seen,EXP_SocialBenefitsExpense,AGGREGATE:expense,"both constituents denote social benefits expense, so the bundle denotes that one node",combination spanning a mapped (D62) and an unmapped (D632) item,AGGREGATE:expense,Combined code spanning D62 (maps to EXP_SocialBenefitsExpense) and D632 (ruled out of scope above). A bundle spanning a mapped and an unmapped constituent cannot denote the single leaf. Ruled with B.
gfs,D632,Social transfers in kind - purchased market production,head/seen,EXP_SocialBenefitsExpense,,social transfers in kind purchased from market producers = benefit expense in kind,social transfer in kind (purchased market output); outside IPSAS 42 cash-benefit node,,"D632 is government purchase of market output delivered to households. The node's declared anchor IPSAS 42 scopes to cash social benefits and excludes transfers in kind, but the node's own examples list 'Healthcare subsidies to population', which is exactly this. The drafted node is internally inconsistent between its ipsas_ref and its examples -- recorded as a defect of the extension. Ruled on the declared standard anchor (empty), with B."
gfs,D7,Other current transfers,head/seen,EXP_GrantsAndSubsidiesPaid,AGGREGATE:expense,other current transfers payable = grants/intergovernmental transfers paid,"hierarchy parent spanning insurance, EU own resources, transfers",AGGREGATE:expense,"D7 spans non-life insurance premiums and claims, current international cooperation, EU own resources and miscellaneous current transfers. EXP_GrantsAndSubsidiesPaid denotes grants and subsidies only; insurance premiums and EU own resources are neither. Heterogeneous parent. Ruled with B."
gfs,D7_S1311,"Other current transfers,of which payable to subsector S1311",tail/seen,EXP_GrantsAndSubsidiesPaid,,'of which' counterparty slice of D7 (intergovernmental transfers paid),"counterparty memo split of an aggregate; consolidation dimension, not an account",AGGREGATE:expense,"'of which payable to subsector S13xx' is a counterparty memo split of an aggregate, not a separate account. Kontablo models counterparty as an elimination attribute (LocalEntry.intercompany_with), never as a node, so no leaf denotes it. It remains the parent's aggregate viewed through a counterparty axis -- ruled AGGREGATE, matching neither labeler: A mapped it to a leaf (too aggressive), B ruled it wholly out of scope (too strict, since Kontablo does represent it as a computed rollup)."
gfs,D7_S1312,"Other current transfers,of which payable to subsector S1312",tail/seen,EXP_GrantsAndSubsidiesPaid,,'of which' counterparty slice of D7 (intergovernmental transfers paid),"counterparty memo split of an aggregate; consolidation dimension, not an account",AGGREGATE:expense,"'of which payable to subsector S13xx' is a counterparty memo split of an aggregate, not a separate account. Kontablo models counterparty as an elimination attribute (LocalEntry.intercompany_with), never as a node, so no leaf denotes it. It remains the parent's aggregate viewed through a counterparty axis -- ruled AGGREGATE, matching neither labeler: A mapped it to a leaf (too aggressive), B ruled it wholly out of scope (too strict, since Kontablo does represent it as a computed rollup)."
