taxonomy,code,name,stratum,gold_kontablo_id,basis
gfs,D1,Compensation of employees,head/seen,EXP_PersonnelCosts_Gov,agreed
gfs,D29_D5_D8,"""Other taxes on production; current taxes on income, wealth, etc; adjustment for the change in pension entitlements""",head/seen,AGGREGATE:expense,agreed
gfs,D3,Subsidies,head/seen,EXP_GrantsAndSubsidiesPaid,agreed
gfs,D4,Property income,head/seen,AGGREGATE:expense,adjudicated
gfs,D4_S1311,"Property income, of which payable to subsector S1311",tail/seen,AGGREGATE:expense,adjudicated
gfs,D4_S1312,"Property income, of which payable to subsector S1312",tail/seen,AGGREGATE:expense,adjudicated
gfs,D4_S1313,"Property income, of which payable to subsector S1313",tail/seen,AGGREGATE:expense,adjudicated
gfs,D4_S1314,"Property income, of which payable to subsector S1314",tail/seen,AGGREGATE:expense,adjudicated
gfs,D62,Social benefits other than social transfers in kind,head/seen,EXP_SocialBenefitsExpense,agreed
gfs,D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,head/seen,AGGREGATE:expense,adjudicated
gfs,D632,Social transfers in kind - purchased market production,head/seen,,adjudicated
gfs,D7,Other current transfers,head/seen,AGGREGATE:expense,adjudicated
gfs,D7_S1311,"Other current transfers,of which payable to subsector S1311",tail/seen,AGGREGATE:expense,adjudicated
gfs,D7_S1312,"Other current transfers,of which payable to subsector S1312",tail/seen,AGGREGATE:expense,adjudicated
gfs,D7_S1313,"Other current transfers,of which payable to subsector S1313",tail/seen,AGGREGATE:expense,adjudicated
gfs,D7_S1314,"Other current transfers,of which payable to subsector S1314",tail/seen,AGGREGATE:expense,adjudicated
gfs,D9,Capital transfers,head/seen,AGGREGATE:expense,adjudicated
gfs,D92,Investment grants,head/seen,EXP_GrantsAndSubsidiesPaid,agreed
gfs,D9_S1311,"Capital transfers, expenditure, of which to subsector central government (S1311)",tail/seen,AGGREGATE:expense,adjudicated
gfs,D9_S1312,"Capital transfers, expenditure, of which to subsector state government (S1312)",tail/seen,AGGREGATE:expense,adjudicated
gfs,D9_S1313,"Capital transfers, expenditure, of which to subsector local government (S1313)",tail/seen,AGGREGATE:expense,adjudicated
gfs,D9_S1314,"Capital transfers, expenditure, of which to subsector social security funds (S1314)",tail/seen,AGGREGATE:expense,adjudicated
gfs,FA_A_SP,"Financial assets, Stock positions",tail/seen,AGGREGATE:asset,agreed
gfs,G11_T,"Taxes, Transactions",tail/seen,GOV_TaxRevenue,agreed
gfs,G12_T,"Social contributions, Transactions",tail/seen,GOV_SocialContributions,agreed
gfs,G13_T,"Grants receivable, Transactions",tail/seen,GOV_TransfersReceived,agreed
gfs,G14_T,"Other revenue, Transactions",tail/seen,AGGREGATE:revenue,agreed
gfs,G1_T,"Revenue, Transactions",tail/seen,AGGREGATE:revenue,agreed
gfs,G21_T,"Compensation of employees, Transactions",tail/seen,EXP_PersonnelCosts_Gov,agreed
gfs,G22_T,"Use of goods and services, Transactions",tail/seen,,agreed
gfs,G23_T,"Consumption of fixed capital (CFC), Transactions",tail/seen,expense.depreciation,agreed
gfs,G24_T,"Interest payable, Transactions",tail/seen,EXP_DebtService,agreed
gfs,G25_T,"Subsidies payable, Transactions",tail/seen,EXP_GrantsAndSubsidiesPaid,agreed
gfs,G26_T,"Grants payable, Transactions",tail/seen,EXP_GrantsAndSubsidiesPaid,agreed
gfs,G27_T,"Social benefits, Transactions",tail/seen,EXP_SocialBenefitsExpense,agreed
gfs,G28_T,"Other expense, Transactions",tail/seen,AGGREGATE:expense,agreed
gfs,G2_T,"Expense, Transactions",tail/seen,AGGREGATE:expense,agreed
gfs,G6_A_SP,"Net worth, Assets, Stock positions",tail/seen,AGGREGATE:equity,agreed
gfs,GF01,General public services,mid/seen,LENS:cofog,agreed
gfs,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",mid/seen,LENS:cofog,agreed
gfs,GF0102,Foreign economic aid,mid/seen,LENS:cofog,agreed
gfs,GF0103,General services,mid/seen,LENS:cofog,agreed
gfs,GF0104,Basic research,mid/seen,LENS:cofog,agreed
gfs,GF0105,R&D General public services,tail/seen,LENS:cofog,agreed
gfs,GF0106,General public services n.e.c.,mid/seen,LENS:cofog,agreed
gfs,GF0107,Public debt transactions,tail/seen,LENS:cofog,agreed
gfs,GF0108,Transfers of a general character between different levels of government,tail/seen,LENS:cofog,agreed
gfs,GF011_T,"Executive and legislative organs, financial and fiscal affairs, external affairs, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF012_T,"Foreign economic aid, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF013_T,"General services, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0140_T,"Basic research, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0150_T,"R&D General public services, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0160_T,"General public services n.e.c., Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0170_T,"Public debt transactions, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0180_T,"Transfers of a general character between different levels of government, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF01_T,"General public services, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF02,Defence,mid/seen,LENS:cofog,agreed
gfs,GF0201,Military defence,mid/seen,LENS:cofog,agreed
gfs,GF0202,Civil defence,mid/seen,LENS:cofog,agreed
gfs,GF0203,Foreign military aid,mid/seen,LENS:cofog,agreed
gfs,GF0204,R&D Defence,mid/seen,LENS:cofog,agreed
gfs,GF0205,Defence n.e.c.,mid/seen,LENS:cofog,agreed
gfs,GF0210_T,"Military defence, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0220_T,"Civil defence, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0230_T,"Foreign military aid, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0240_T,"R&D Defence, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF025_T,"Defence n.e.c., Transactions",tail/seen,LENS:cofog,agreed
gfs,GF02_T,"Defence, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF03,Public order and safety,mid/seen,LENS:cofog,agreed
gfs,GF0301,Police services,mid/seen,LENS:cofog,agreed
gfs,GF0302,Fire-protection services,mid/seen,LENS:cofog,agreed
gfs,GF0303,Law courts,mid/seen,LENS:cofog,agreed
gfs,GF0304,Prisons,mid/seen,LENS:cofog,agreed
gfs,GF0305,R&D Public order and safety,mid/seen,LENS:cofog,agreed
gfs,GF0306,Public order and safety n.e.c.,mid/seen,LENS:cofog,agreed
gfs,GF0310_T,"Police services, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0320_T,"Fire-protection services, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0330_T,"Law courts, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0340_T,"Prisons, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0350_T,"R&D Public order and safety, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0360_T,"Public order and safety n.e.c., Transactions",tail/seen,LENS:cofog,agreed
gfs,GF03_T,"Public order and safety, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF04,Economic affairs,head/seen,LENS:cofog,agreed
gfs,GF0401,"General economic, commercial and labour affairs",mid/seen,LENS:cofog,agreed
gfs,GF0402,"Agriculture, forestry, fishing and hunting",mid/seen,LENS:cofog,agreed
gfs,GF0403,Fuel and energy,mid/seen,LENS:cofog,agreed
gfs,GF0404,"Mining, manufacturing and construction",mid/seen,LENS:cofog,agreed
gfs,GF0405,Transport,mid/seen,LENS:cofog,agreed
gfs,GF0406,Communication,mid/seen,LENS:cofog,agreed
gfs,GF0407,Other industries,mid/seen,LENS:cofog,agreed
gfs,GF0408,R&D Economic affairs,mid/seen,LENS:cofog,agreed
gfs,GF0409,Economic affairs n.e.c.,mid/seen,LENS:cofog,agreed
gfs,GF041_T,"General economic, commercial and labour affairs, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF042_T,"Agriculture, forestry, fishing and hunting, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF043_T,"Fuel and energy, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF044_T,"Mining, manufacturing and construction, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF045_T,"Transport, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0460_T,"Communication, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF047_T,"Other industries, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF048_T,"R&D Economic affairs, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0490_T,"Economic affairs n.e.c., Transactions",tail/seen,LENS:cofog,agreed
gfs,GF04_T,"Economic affairs, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF05,Environmental protection,mid/seen,LENS:cofog,agreed
gfs,GF0501,Waste management,mid/seen,LENS:cofog,agreed
gfs,GF0502,Waste water management,mid/seen,LENS:cofog,agreed
gfs,GF0503,Pollution abatement,mid/seen,LENS:cofog,agreed
gfs,GF0504,Protection of biodiversity and landscape,mid/seen,LENS:cofog,agreed
gfs,GF0505,R&D Environmental protection,mid/seen,LENS:cofog,agreed
gfs,GF0506,Environmental protection n.e.c.,mid/seen,LENS:cofog,agreed
gfs,GF0510_T,"Waste management, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0520_T,"Waste water management, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0530_T,"Pollution abatement, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0540_T,"Protection of biodiversity and landscape, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0550_T,"R&D Environmental protection, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0560_T,"Environmental protection n.e.c., Transactions",tail/seen,LENS:cofog,agreed
gfs,GF05_T,"Environmental protection, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF06,Housing and community amenities,mid/seen,LENS:cofog,agreed
gfs,GF0601,Housing development,mid/seen,LENS:cofog,agreed
gfs,GF0602,Community development,mid/seen,LENS:cofog,agreed
gfs,GF0603,Water supply,mid/seen,LENS:cofog,agreed
gfs,GF0604,Street lighting,mid/seen,LENS:cofog,agreed
gfs,GF0605,R&D Housing and community amenities,tail/seen,LENS:cofog,agreed
gfs,GF0606,Housing and community amenities n.e.c.,mid/seen,LENS:cofog,agreed
gfs,GF0610_T,"Housing development, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0620_T,"Community development, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0630_T,"Water supply, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0640_T,"Street lighting, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0650_T,"R&D Housing and community amenities, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF0660_T,"Housing and community amenities n.e.c., Transactions",tail/seen,LENS:cofog,agreed
gfs,GF066_T,"Housing and community amenities n.e.c., Transactions",tail/seen,LENS:cofog,agreed
gfs,GF06_T,"Housing and community amenities, Transactions",tail/seen,LENS:cofog,agreed
gfs,GF07,Health,head/seen,LENS:cofog,agreed
gfs,GF0701,"Medical products, appliances and equipment",mid/seen,LENS:cofog,agreed
gfs,GF0702,Outpatient services,mid/seen,LENS:cofog,agreed
gfs,GF0703,Hospital services,mid/seen,LENS:cofog,agreed
gfs,GF0704,Public health services,mid/seen,LENS:cofog,agreed
gfs,GF0705,R&D Health,mid/seen,LENS:cofog,agreed
gfs,GF0706,Health n.e.c.,mid/seen,LENS:cofog,agreed
