taxonomy,code,name,stratum,gold_kontablo_id,labeler_note
gfs,TOTAL,Total,head/seen,,
gfs,GF07,Health,head/seen,,
gfs,GF10,Social protection,head/seen,,
gfs,GF08,"Recreation, culture and religion",head/seen,,
gfs,GF09,Education,head/seen,,
gfs,GF04,Economic affairs,head/seen,,
gfs,GF0802,Cultural services,head/seen,,
gfs,GF0703,Hospital services,mid/seen,,
gfs,GF1002,Old age,mid/seen,,
gfs,GF0801,Recreational and sporting services,mid/seen,,
gfs,GF1004,Family and children,mid/seen,,
gfs,GF0904,Tertiary education,mid/seen,,
gfs,GF1001,Sickness and disability,mid/seen,,
gfs,GF01,General public services,mid/seen,,
gfs,GF1007,Social exclusion n.e.c.,mid/seen,,
gfs,GF05,Environmental protection,mid/seen,,
gfs,GF0702,Outpatient services,mid/seen,,
gfs,GF0901,Pre-primary and primary education,mid/seen,,
gfs,GF0902,Secondary education,mid/seen,,
gfs,GF0905,Education not definable by level,mid/seen,,
gfs,GF0906,Subsidiary services to education,mid/seen,,
gfs,GF1009,Social protection n.e.c.,mid/seen,,
gfs,GF1006,Housing,mid/seen,,
gfs,GF0704,Public health services,mid/seen,,
gfs,GF06,Housing and community amenities,mid/seen,,
gfs,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",mid/seen,,
gfs,GF0506,Environmental protection n.e.c.,mid/seen,,
gfs,GF0401,"General economic, commercial and labour affairs",mid/seen,,
gfs,GF0405,Transport,mid/seen,,
gfs,GF0706,Health n.e.c.,mid/seen,,
gfs,GF0804,Religious and other community services,mid/seen,,
gfs,GF0501,Waste management,mid/seen,,
gfs,GF03,Public order and safety,mid/seen,,
gfs,GF0407,Other industries,mid/seen,,
gfs,GF0601,Housing development,mid/seen,,
gfs,GF0402,"Agriculture, forestry, fishing and hunting",mid/seen,,
gfs,GF0602,Community development,mid/seen,,
gfs,GF1005,Unemployment,mid/seen,,
gfs,GF0606,Housing and community amenities n.e.c.,mid/seen,,
gfs,GF0603,Water supply,mid/seen,,
gfs,GF0908,Education n.e.c.,mid/seen,,
gfs,GF0106,General public services n.e.c.,mid/seen,,
gfs,GF02,Defence,mid/seen,,
gfs,GF0403,Fuel and energy,mid/seen,,
gfs,GF0803,Broadcasting and publishing services,mid/seen,,
gfs,GF0104,Basic research,mid/seen,,
gfs,GF0103,General services,mid/seen,,
gfs,GF0406,Communication,mid/seen,,
gfs,GF0903,Post-secondary non-tertiary education,mid/seen,,
gfs,GF0302,Fire-protection services,mid/seen,,
gfs,GF0404,"Mining, manufacturing and construction",mid/seen,,
gfs,GF0907,R&D Education,mid/seen,,
gfs,GF0306,Public order and safety n.e.c.,mid/seen,,
gfs,GF0502,Waste water management,mid/seen,,
gfs,GF0201,Military defence,mid/seen,,
gfs,GF0504,Protection of biodiversity and landscape,mid/seen,,
gfs,GF0301,Police services,mid/seen,,
gfs,GF0303,Law courts,mid/seen,,
gfs,GF0205,Defence n.e.c.,mid/seen,,
gfs,GF0304,Prisons,mid/seen,,
gfs,GF0604,Street lighting,mid/seen,,
gfs,GF0305,R&D Public order and safety,mid/seen,,
gfs,GF0806,"Recreation, culture and religion n.e.c.",mid/seen,,
gfs,GF0408,R&D Economic affairs,mid/seen,,
gfs,GF0701,"Medical products, appliances and equipment",mid/seen,,
gfs,GF0203,Foreign military aid,mid/seen,,
gfs,GF1003,Survivors,mid/seen,,
gfs,GF0503,Pollution abatement,mid/seen,,
gfs,GF0705,R&D Health,mid/seen,,
gfs,GF0505,R&D Environmental protection,mid/seen,,
gfs,GF0102,Foreign economic aid,mid/seen,,
gfs,GF0805,"R&D Recreation, culture and religion",mid/seen,,
gfs,GF0202,Civil defence,mid/seen,,
gfs,GF0409,Economic affairs n.e.c.,mid/seen,,
gfs,GF0204,R&D Defence,mid/seen,,
gfs,GF0107,Public debt transactions,tail/seen,,
gfs,GF1008,R&D Social protection,tail/seen,,
gfs,GF0105,R&D General public services,tail/seen,,
gfs,GF0605,R&D Housing and community amenities,tail/seen,,
gfs,GF0108,Transfers of a general character between different levels of government,tail/seen,,
gfs,TE,Total general government expenditure,head/seen,,
gfs,P3,Final consumption expenditure,head/seen,,
gfs,P2,Intermediate consumption,head/seen,,
gfs,OP5ANP,Gross capital formation and acquisitions less disposals of non-financial non-produced assets,head/seen,,
gfs,P5,Gross capital formation,head/seen,,
gfs,P51G,Gross fixed capital formation,head/seen,,
gfs,D1,Compensation of employees,head/seen,,
gfs,D7,Other current transfers,head/seen,,
gfs,D9,Capital transfers,head/seen,,
gfs,P2_D29_D5_D8,"Intermediate consumption; other taxes on production; current taxes on income, wealth, etc.; adjustment for the change in pension entitlements",head/seen,,
gfs,D92,Investment grants,head/seen,,
gfs,D3,Subsidies,head/seen,,
gfs,NP,Acquisitions less disposals of non-financial non-produced assets,head/seen,,
gfs,D29_D5_D8,"""Other taxes on production; current taxes on income, wealth, etc; adjustment for the change in pension entitlements""",head/seen,,
gfs,D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,head/seen,,
gfs,D62,Social benefits other than social transfers in kind,head/seen,,
gfs,D632,Social transfers in kind - purchased market production,head/seen,,
gfs,D4,Property income,head/seen,,
gfs,P32,Collective consumption expenditure,head/seen,,
gfs,P31,Individual consumption expenditure,head/seen,,
gfs,D4_S1311,"Property income, of which payable to subsector S1311",tail/seen,,
gfs,D4_S1312,"Property income, of which payable to subsector S1312",tail/seen,,
gfs,D4_S1313,"Property income, of which payable to subsector S1313",tail/seen,,
