taxonomy,code,name,stratum,gold_kontablo_id,labeler_note
gfs,TOTAL,Total,head/seen,AGGREGATE:expense,"total across all COFOG functions = total expenditure; a total, not a leaf"
gfs,GF07,Health,head/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF10,Social protection,head/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF08,"Recreation, culture and religion",head/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF09,Education,head/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF04,Economic affairs,head/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF0802,Cultural services,head/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF0703,Hospital services,mid/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF1002,Old age,mid/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF0801,Recreational and sporting services,mid/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF1004,Family and children,mid/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF0904,Tertiary education,mid/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF1001,Sickness and disability,mid/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF01,General public services,mid/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF1007,Social exclusion n.e.c.,mid/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF05,Environmental protection,mid/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF0702,Outpatient services,mid/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF0901,Pre-primary and primary education,mid/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF0902,Secondary education,mid/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF0905,Education not definable by level,mid/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF0906,Subsidiary services to education,mid/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF1009,Social protection n.e.c.,mid/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF1006,Housing,mid/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF0704,Public health services,mid/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF06,Housing and community amenities,mid/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",mid/seen,LENS:cofog,"COFOG function (purpose), not an account"
gfs,GF0506,Environmental protection n.e.c.,mid/seen,LENS:cofog,"COFOG function (purpose), not an account"
