taxonomy,code,name,stratum,gold_kontablo_id,labeler_note
gfs,TOTAL,Total,head/seen,AGGREGATE:expense,"total across all COFOG functions; total, not a leaf"
gfs,GF07,Health,head/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF10,Social protection,head/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF08,"Recreation, culture and religion",head/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF09,Education,head/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF04,Economic affairs,head/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0802,Cultural services,head/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0703,Hospital services,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF1002,Old age,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0801,Recreational and sporting services,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF1004,Family and children,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0904,Tertiary education,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF1001,Sickness and disability,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF01,General public services,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF1007,Social exclusion n.e.c.,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF05,Environmental protection,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0702,Outpatient services,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0901,Pre-primary and primary education,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0902,Secondary education,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0905,Education not definable by level,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0906,Subsidiary services to education,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF1009,Social protection n.e.c.,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF1006,Housing,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0704,Public health services,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF06,Housing and community amenities,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0506,Environmental protection n.e.c.,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0401,"General economic, commercial and labour affairs",mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0405,Transport,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0706,Health n.e.c.,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0804,Religious and other community services,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0501,Waste management,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF03,Public order and safety,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0407,Other industries,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0601,Housing development,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0402,"Agriculture, forestry, fishing and hunting",mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0602,Community development,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF1005,Unemployment,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0606,Housing and community amenities n.e.c.,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0603,Water supply,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0908,Education n.e.c.,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0106,General public services n.e.c.,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF02,Defence,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0403,Fuel and energy,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0803,Broadcasting and publishing services,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0104,Basic research,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0103,General services,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0406,Communication,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
gfs,GF0903,Post-secondary non-tertiary education,mid/seen,LENS:cofog,"COFOG function (purpose), not an account; rollup lens"
