source,taxonomy,window,code,name,taxonomy_class,measure_class,n_facts,n_filings,resolved_id,tier,confidence,rule,seen_in_train,in_crosswalk,declared_out_of_core,baseline_naive,gold
eurostat_cofog,gfs,holdout,TOTAL,Total,standard,monetary,2456,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF07,Health,standard,monetary,2408,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF10,Social protection,standard,monetary,2408,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF08,"Recreation, culture and religion",standard,monetary,2404,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF09,Education,standard,monetary,2403,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF04,Economic affairs,standard,monetary,2390,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0802,Cultural services,standard,monetary,2374,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0703,Hospital services,standard,monetary,2372,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF1002,Old age,standard,monetary,2370,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0801,Recreational and sporting services,standard,monetary,2365,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF1004,Family and children,standard,monetary,2360,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0904,Tertiary education,standard,monetary,2359,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF1001,Sickness and disability,standard,monetary,2359,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF01,General public services,standard,monetary,2357,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF1007,Social exclusion n.e.c.,standard,monetary,2357,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF05,Environmental protection,standard,monetary,2352,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0702,Outpatient services,standard,monetary,2351,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0901,Pre-primary and primary education,standard,monetary,2350,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0902,Secondary education,standard,monetary,2348,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0905,Education not definable by level,standard,monetary,2348,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0906,Subsidiary services to education,standard,monetary,2348,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF1009,Social protection n.e.c.,standard,monetary,2347,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF1006,Housing,standard,monetary,2343,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0704,Public health services,standard,monetary,2342,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF06,Housing and community amenities,standard,monetary,2340,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",standard,monetary,2338,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0506,Environmental protection n.e.c.,standard,monetary,2338,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0401,"General economic, commercial and labour affairs",standard,monetary,2335,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0405,Transport,standard,monetary,2334,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0706,Health n.e.c.,standard,monetary,2332,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0804,Religious and other community services,standard,monetary,2332,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0501,Waste management,standard,monetary,2330,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF03,Public order and safety,standard,monetary,2329,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0407,Other industries,standard,monetary,2328,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0601,Housing development,standard,monetary,2328,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0402,"Agriculture, forestry, fishing and hunting",standard,monetary,2327,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0602,Community development,standard,monetary,2327,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF1005,Unemployment,standard,monetary,2325,30,,escalated,0.0,,True,False,False,,
eurostat_cofog,gfs,holdout,GF0606,Housing and community amenities n.e.c.,standard,monetary,2324,30,,escalated,0.0,,True,False,False,,
