fxo_id,entity_identifier,country,period_end,window,json_url,sha256_recorded,n_facts,n_concepts,n_ifrs_full,n_extension
0W5QHUNYV4W7GJO62R27-2020-12-31-ESEF-AT-1,0W5QHUNYV4W7GJO62R27,AT,2020-12-31,train,/0W5QHUNYV4W7GJO62R27/2020-12-31/ESEF/AT/1/htb-2020-12-31.json,4934d5fabf2e8f2c3433c8ac8926c0738444a227a772a8b10391b4a271158a93,296,92,90,2
213800OJ67K27RCO2J56-2020-12-31-ESEF-AT-0,213800OJ67K27RCO2J56,AT,2020-12-31,train,/213800OJ67K27RCO2J56/2020-12-31/ESEF/AT/0/ATRI-2020-12-31.json,a4bf8720e6fef369f9776ee5b4478be5b2cd301df9902b8ba6b01ca20d3a373c,369,112,99,13
213800OJ67K27RCO2J56-2020-12-31-ESEF-AT-1,213800OJ67K27RCO2J56,AT,2020-12-31,train,/213800OJ67K27RCO2J56/2020-12-31/ESEF/AT/1/ATRI-2020-12-31.json,6c7a1c1f9186fd431fc44c794bab7615c7c878883bd5ab80283f11b3abad469f,379,112,99,13
5299000DUMZ99SBBX121-2020-12-31-ESEF-AT-0,5299000DUMZ99SBBX121,AT,2020-12-31,train,/5299000DUMZ99SBBX121/2020-12-31/ESEF/AT/0/5299000DUMZ99SBBX121-2020-12-31.json,dc199f6cffe95db740f76cea6517fe592d1b6aab83da05fa3dad0502fd3532af,387,137,120,17
5299000ML1154IW9K192-2020-12-31-ESEF-AT-0,5299000ML1154IW9K192,AT,2020-12-31,train,/5299000ML1154IW9K192/2020-12-31/ESEF/AT/0/novomaticag-2020-12-31.json,3b2298e8d48c1dec42a50590d4d2ebee13bc0df6bbbc39dc0fa9829b196e2d2a,356,114,96,18
213800H2CDP9I374WH83-2020-12-31-ESEF-BE-0,213800H2CDP9I374WH83,BE,2020-12-31,train,/213800H2CDP9I374WH83/2020-12-31/ESEF/BE/0/titancement-2020-12-31AR.json,4706d4f6cba6719f67494ca756ffca9308fe7a94ce8f529d0853592a5ef06339,580,124,106,18
213800H2CDP9I374WH83-2020-12-31-ESEF-BE-1,213800H2CDP9I374WH83,BE,2020-12-31,train,/213800H2CDP9I374WH83/2020-12-31/ESEF/BE/1/titancement-2020-12-31AR.json,8e3e380bc3b1cec51f29007b01506cfcc566293f617521fc8664f7ef71a17f98,580,124,106,18
315700NENYPIXFR94T49-2020-12-31-ESEF-BE-0,315700NENYPIXFR94T49,BE,2020-12-31,train,/315700NENYPIXFR94T49/2020-12-31/ESEF/BE/0/315700NENYPIXFR94T49-2020-12-31.json,0c6002f12ec7f76f7cff6415228ef3a01d5908998e9e18bf51a17a01edfc2515,204,82,74,8
5493006G5O9JP185PU76-2020-12-31-ESEF-BE-0,5493006G5O9JP185PU76,BE,2020-12-31,train,/5493006G5O9JP185PU76/2020-12-31/ESEF/BE/0/econocom-2020-12-31AR.json,c6f403ce547d247dcdbec17da1d13b4c8d12e0a58f9700814a2b59e7561de708,438,138,99,39
5493008SR6XZECH6BN71-2020-12-31-ESEF-BE-0,5493008SR6XZECH6BN71,BE,2020-12-31,train,/5493008SR6XZECH6BN71/2020-12-31/ESEF/BE/0/5493008SR6XZECH6BN71-2020-12-31.json,ef1b521abb3c19ae22e7abb7c9c0ba4bfe456116c6d3562eab50c8c24b675286,328,113,97,16
2138003DUDZ8R67LEO26-2021-12-31-ESEF-CY-0,2138003DUDZ8R67LEO26,CY,2021-12-31,train,/2138003DUDZ8R67LEO26/2021-12-31/ESEF/CY/0/Blue-Island-2021-12-31.json,0b4e3029548ad47d1e72daa64b135285c7502bc077a473c3f5a9698576c00cab,201,81,81,0
2138003E6AHESY1SPW44-2021-12-31-ESEF-CY-0,2138003E6AHESY1SPW44,CY,2021-12-31,train,/2138003E6AHESY1SPW44/2021-12-31/ESEF/CY/0/2138003E6AHESY1SPW44-2021-12-31_el.json,c634e57083944bc723eee9e7462a23a9337bfb9ed70b82b1f520f63c258c0a6f,216,79,66,13
21380045SZ5TC6QV4H71-2021-12-31-ESEF-CY-0,21380045SZ5TC6QV4H71,CY,2021-12-31,train,/21380045SZ5TC6QV4H71/2021-12-31/ESEF/CY/0/21380045SZ5TC6QV4H71-2021-12-31-el.json,5cfa0d44ef58a617d4197d70cf15958879f87a63a1385537b79bef73c4c24e3e,109,44,42,2
2138004BSTFFGSKF4X46-2021-12-31-ESEF-CY-0,2138004BSTFFGSKF4X46,CY,2021-12-31,train,/2138004BSTFFGSKF4X46/2021-12-31/ESEF/CY/0/2138004BSTFFGSKF4X46-2021-12-31-el.json,4ce019635bde4b8bc05caee6a160fe96473dc4e84e2bea38caae17e78c8b5e54,314,91,83,8
2138005EK8KF8ID61A07-2021-12-31-ESEF-CY-0,2138005EK8KF8ID61A07,CY,2021-12-31,train,/2138005EK8KF8ID61A07/2021-12-31/ESEF/CY/0/2138005EK8KF8ID61A07-2021-12-31-el.json,0b825ff244b8d59f99981a49b2901dab4e1bf48d31438761dcecdb417e88d3d4,191,80,75,5
31570010000000026673-2020-12-31-ESEF-CZ-0,31570010000000026673,CZ,2020-12-31,train,/31570010000000026673/2020-12-31/ESEF/CZ/0/equa-2020-12-31.json,623da32e06d0c964ca3ae0f519b0e0cbab35afa38732c1928c0e3a58c9f7ac9e,222,72,69,3
31570010000000043842-2020-12-31-ESEF-CZ-0,31570010000000043842,CZ,2020-12-31,train,/31570010000000043842/2020-12-31/ESEF/CZ/0/31570010000000043842-2020-12-31.json,84c6ffde615633a25eb8d34fdb470ee385f0272135f388c313b64d3208f1c9f2,473,111,102,9
31570010000000102818-2020-12-31-ESEF-CZ-0,31570010000000102818,CZ,2020-12-31,train,/31570010000000102818/2020-12-31/ESEF/CZ/0/Konsolidovaná VZ 2020_UNIMEX GROUP uzavreny investicni fond.json,a50a3b593f7cdaeb9a92da23627a7f2d41b29e3f048b1555ad40122884662b15,111,47,47,0
3157001WZJ5O35EAL536-2020-12-31-ESEF-CZ-0,3157001WZJ5O35EAL536,CZ,2020-12-31,train,/3157001WZJ5O35EAL536/2020-12-31/ESEF/CZ/0/SAZKAGroup-2020-12-31.json,c63c7b864c89d8ca18504e18d5c1e133611f935994e16b5cb461f734ab587a90,498,151,120,31
3157004ICDH3MRKW7534-2020-12-31-ESEF-CZ-0,3157004ICDH3MRKW7534,CZ,2020-12-31,train,/3157004ICDH3MRKW7534/2020-12-31/ESEF/CZ/0/3157004ICDH3MRKW7534-2020-12-31.json,3c60106b022fe76b3cc4f65449c8fdece1c86c7c6696f6631f7415bf4bdffd14,393,104,102,2
549300W2PCC9TKJTB657-2018-06-30-ESEF-DK-0,549300W2PCC9TKJTB657,DK,2018-06-30,train,/549300W2PCC9TKJTB657/2018-06-30/ESEF/DK/0/549300W2PCC9TKJTB657-2018-06-30-da.json,e40793c71449884271ccfd114c123aa5a13053d306a00eddaf5df028d2f0b836,40,29,27,2
21380031XTLI9X5MTY92-2020-12-31-ESEF-DK-0,21380031XTLI9X5MTY92,DK,2020-12-31,train,/21380031XTLI9X5MTY92/2020-12-31/ESEF/DK/0/SOLA-2020-12-31.json,dd12970ca87ca66ea9ee0dd431cbdf62677585eb572601185e6a2e304cbb2b6c,306,108,98,10
21380051RCIXDBLT6P16-2020-12-31-ESEF-DK-0,21380051RCIXDBLT6P16,DK,2020-12-31,train,/21380051RCIXDBLT6P16/2020-12-31/ESEF/DK/0/21380051RCIXDBLT6P16-2020-12-31_en.json,dd78ca67acfbeeae67244e5c3d4e110a624bbfbc209a4d16f1395f401075fd96,514,111,94,17
2138005U9L9SQAT4SQ74-2020-12-31-ESEF-DK-0,2138005U9L9SQAT4SQ74,DK,2020-12-31,train,/2138005U9L9SQAT4SQ74/2020-12-31/ESEF/DK/0/2138005U9L9SQAT4SQ74-2020-12-31_en.json,ff6037ef1213885be8320ab6da2814d9b6dd0d3ac1ef59d4a92f57f6f51839c3,278,86,74,12
2138008YD1QPCDECIJ70-2020-12-31-ESEF-DK-0,2138008YD1QPCDECIJ70,DK,2020-12-31,train,/2138008YD1QPCDECIJ70/2020-12-31/ESEF/DK/0/gyldendal-2020-12-31.json,6f77480ff6659a6305e647feda68d970afed69477d020a3f45bd4d55b12e7121,307,108,92,16
25490093MDYISEP1Y539-2020-12-31-ESEF-EE-0,25490093MDYISEP1Y539,EE,2020-12-31,train,/25490093MDYISEP1Y539/2020-12-31/ESEF/EE/0/25490093MDYISEP1Y539-2020-12-31.json,2d40db63134d96c855ed3cc46d3e5fd3216cd112aca4cc4cf64f9aef3400d2a3,244,79,77,2
25490093MDYISEP1Y539-2020-12-31-ESEF-EE-1,25490093MDYISEP1Y539,EE,2020-12-31,train,/25490093MDYISEP1Y539/2020-12-31/ESEF/EE/1/25490093MDYISEP1Y539-2020-12-31.json,df4d120b77118dacd7f1410a05631dd2f2ad6b091bf6c3d1dfc8b2c95547d873,244,79,77,2
48510000D8HSLK854I81-2020-12-31-ESEF-EE-0,48510000D8HSLK854I81,EE,2020-12-31,train,/48510000D8HSLK854I81/2020-12-31/ESEF/EE/0/48510000D8HSLK854I81-2020-12-31.json,a3f0f95490923567ea7afc0210572600c43b3480baeab50cb36e397c6a3b2ee2,315,91,89,2
48510000D8HSLK854I81-2020-12-31-ESEF-EE-1,48510000D8HSLK854I81,EE,2020-12-31,train,/48510000D8HSLK854I81/2020-12-31/ESEF/EE/1/48510000D8HSLK854I81-2020-12-31.json,52348a8e8a1a8d9426c98a7ad1a2acf9fddf939a1a788313304fe3008d20a3c0,315,91,89,2
48510000I3W254YEMG75-2020-12-31-ESEF-EE-0,48510000I3W254YEMG75,EE,2020-12-31,train,/48510000I3W254YEMG75/2020-12-31/ESEF/EE/0/48510000I3W254YEMG75-2020-12-31.json,a700be86c93658da1a683eb8703ca4a0e540529b298f3ddc3b6f859f678dfd4f,186,70,62,8
213800IMKAUV5KW28586-2020-12-31-ESEF-ES-0,213800IMKAUV5KW28586,ES,2020-12-31,train,/213800IMKAUV5KW28586/2020-12-31/ESEF/ES/0/renta4banco.json,b7e61faa3869c3f977919dc84f985b4859cf2cb0cb60ad4a0c5b2a3add96a2bc,694,187,116,71
213800OU3FQKGM4M2U23-2020-12-31-ESEF-ES-0,213800OU3FQKGM4M2U23,ES,2020-12-31,train,/213800OU3FQKGM4M2U23/2020-12-31/ESEF/ES/0/213800OU3FQKGM4M2U23-20201231.json,01711fe9ebd94a8d9c14483c5c95b98c016308b827ee529d2d1e406dc1b0ca8f,376,134,101,33
259400T6ZDQIMDBGDN42-2020-12-31-ESEF-ES-0,259400T6ZDQIMDBGDN42,ES,2020-12-31,train,/259400T6ZDQIMDBGDN42/2020-12-31/ESEF/ES/0/259400T6ZDQIMDBGDN42-2020-12-31.json,d72ffb70bff68a5e3c0ad734867bdea8c5dae18fe2f20be00fb2de1ac598efe9,328,109,96,13
529900MUFAH07Q1TAX06-2020-12-31-ESEF-ES-0,529900MUFAH07Q1TAX06,ES,2020-12-31,train,/529900MUFAH07Q1TAX06/2020-12-31/ESEF/ES/0/529900MUFAH07Q1TAX06-2020-12-31AR.json,ec109ffbe8f081194f662479217f2cb8ce82129f4ad601b1edc7342599d0d144,524,127,89,38
5493000LM0MZ4JPMGM90-2020-12-31-ESEF-ES-0,5493000LM0MZ4JPMGM90,ES,2020-12-31,train,/5493000LM0MZ4JPMGM90/2020-12-31/ESEF/ES/0/5493000LM0MZ4JPMGM90-20201231.json,f31c81edc935105417f86606ddea602f569d25777d871fc32d69c0d0f6b3722d,580,226,151,75
2138007FRMWVPUDCMA45-2020-12-31-ESEF-FI-0,2138007FRMWVPUDCMA45,FI,2020-12-31,train,/2138007FRMWVPUDCMA45/2020-12-31/ESEF/FI/0/Neles-2020-12-31.json,e0cb7b158a7ee4ce5c33709fb600a95e5860f52e2449d27219d20a51b758bcaf,411,152,125,27
2138007FRMWVPUDCMA45-2020-12-31-ESEF-FI-1,2138007FRMWVPUDCMA45,FI,2020-12-31,train,/2138007FRMWVPUDCMA45/2020-12-31/ESEF/FI/1/Neles-2020-12-31.json,12bdefd954b862f35a277e576869fac9300f3f78674780df76d11aefb9549b45,412,152,125,27
213800D9O7FUQDH83V62-2020-12-31-ESEF-FI-0,213800D9O7FUQDH83V62,FI,2020-12-31,train,/213800D9O7FUQDH83V62/2020-12-31/ESEF/FI/0/213800D9O7FUQDH83V62-2020-12-31.json,b66c4100fb8af73059aa53a43d5f97e24ac89694c7bfe8a77c93df390362d174,353,116,110,6
213800F2MJ5Z2TAQ1726-2020-12-31-ESEF-FI-0,213800F2MJ5Z2TAQ1726,FI,2020-12-31,train,/213800F2MJ5Z2TAQ1726/2020-12-31/ESEF/FI/0/am1-2020-12-31.json,2612cbe8fcff0ee18f3e128454f8026f6abd8ee0102f9ccaf87749d42a778289,351,108,100,8
52990007AXNSS4PNX352-2020-12-31-ESEF-FI-0,52990007AXNSS4PNX352,FI,2020-12-31,train,/52990007AXNSS4PNX352/2020-12-31/ESEF/FI/0/AltiaOyj-2020-12-31.json,caff9e5dfb7326ab2b1b7eb9e81cd8ceaa4e7ca55fd3b7b8927e54e329b5f499,358,98,97,1
1VUV7VQFKUOQSJ21A208-2020-12-31-ESEF-FR-0,1VUV7VQFKUOQSJ21A208,FR,2020-12-31,train,/1VUV7VQFKUOQSJ21A208/2020-12-31/ESEF/FR/0/1VUV7VQFKUOQSJ21A208-2020-12-31AR.json,bd2b387e880b0c6097a9b39be3510b0887f6bce4f9a281838f8a4ee7a8620c80,858,152,92,60
