CÓDIGO,NOMBRE,NIVEL,NATURALEZA
1,ACTIVO,1,DÉBITO
11,DISPONIBLE,2,DÉBITO
1105,CAJA,3,DÉBITO
1110,BANCOS,3,DÉBITO
12,INVERSIONES,2,DÉBITO
13,DEUDORES,2,DÉBITO
1305,CLIENTES,3,DÉBITO
14,INVENTARIOS,2,DÉBITO
15,PROPIEDAD PLANTA Y EQUIPO,2,DÉBITO
1516,CONSTRUCCIONES Y EDIFICACIONES,3,DÉBITO
2,PASIVO,1,CRÉDITO
21,OBLIGACIONES FINANCIERAS,2,CRÉDITO
22,PROVEEDORES,2,CRÉDITO
23,CUENTAS POR PAGAR,2,CRÉDITO
24,IMPUESTOS GRAVÁMENES Y TASAS,2,CRÉDITO
2408,IMPUESTO SOBRE LAS VENTAS POR PAGAR (IVA),3,CRÉDITO
3,PATRIMONIO,1,CRÉDITO
31,CAPITAL SOCIAL,2,CRÉDITO
3105,CAPITAL SUSCRITO Y PAGADO,3,CRÉDITO
4,INGRESOS,1,CRÉDITO
41,OPERACIONALES,2,CRÉDITO
4135,COMERCIO AL POR MAYOR Y AL POR MENOR,3,CRÉDITO
5,GASTOS,1,DÉBITO
51,OPERACIONALES DE ADMINISTRACIÓN,2,DÉBITO
5105,GASTOS DE PERSONAL,3,DÉBITO
52,OPERACIONALES DE VENTAS,2,DÉBITO
6,COSTOS DE VENTAS,1,DÉBITO
61,COSTO DE VENTAS Y DE PRESTACIÓN DE SERVICIOS,2,DÉBITO
7,COSTOS DE PRODUCCIÓN O DE OPERACIÓN,1,DÉBITO
8,CUENTAS DE ORDEN DEUDORAS,1,DÉBITO
9,CUENTAS DE ORDEN ACREEDORAS,1,CRÉDITO
